ssbid_5000m,pop_tot,pop_mal,pop_fem,pop_ave2,geom_wkt
20350006460000,966,497,469,40.7,"MULTIPOLYGON(((7.114175392915725 58.03659691996527,7.104304610180011 58.08108133058491,7.188296002968205 58.086290269134786,7.198064409167948 58.04179690551575,7.114175392915725 58.03659691996527)))"
20400006460000,527,282,245,41.1,"MULTIPOLYGON(((7.198064409167948 58.04179690551575,7.188296002968205 58.086290269134786,7.272316477753732 58.091444120334415,7.281982388112998 58.04694189583364,7.198064409167948 58.04179690551575)))"
20450006460000,2112,1050,1062,41,"MULTIPOLYGON(((7.281982388112998 58.04694189583364,7.272316477753732 58.091444120334415,7.356365739049812 58.09654284484521,7.365929035418526 58.05203185172856,7.281982388112998 58.04694189583364)))"
20500006460000,273,149,124,39.9,"MULTIPOLYGON(((7.365929035418526 58.05203185172856,7.356365739049812 58.09654284484521,7.440443490715256 58.10158640372495,7.449904056102213 58.05706673440513,7.365929035418526 58.05203185172856)))"
20550006460000,852,427,425,38.5,"MULTIPOLYGON(((7.449904056102213 58.05706673440513,7.440443490715256 58.10158640372495,7.524549435960483 58.10657475842886,7.533907154537768 58.06204650546402,7.449904056102213 58.05706673440513)))"
20600006460000,319,166,153,40.1,"MULTIPOLYGON(((7.533907154537768 58.06204650546402,7.524549435960483 58.10657475842886,7.608683277353574 58.11150787081071,7.61793803446094 58.06697112690305,7.533907154537768 58.06204650546402)))"
20650006460000,153,78,75,46.6,"MULTIPOLYGON(((7.61793803446094 58.06697112690305,7.608683277353574 58.11150787081071,7.692844716826381 58.116385703123804,7.701996398975612 58.071840561118115,7.61793803446094 58.06697112690305)))"
20700006460000,2974,1537,1437,32.9,"MULTIPOLYGON(((7.701996398975612 58.071840561118115,7.692844716826381 58.116385703123804,7.777033455680666 58.121208218022076,7.786081950559869 58.076654770904334,7.701996398975612 58.071840561118115)))"
20750006460000,6804,3349,3455,42,"MULTIPOLYGON(((7.786081950559869 58.076654770904334,7.777033455680666 58.121208218022076,7.861249194594276 58.12597537856108,7.870194391072143 58.081413719456954,7.786081950559869 58.076654770904334)))"
20800006460000,5062,2497,2565,38.6,"MULTIPOLYGON(((7.870194391072143 58.081413719456954,7.861249194594276 58.12597537856108,7.945491633627337 58.13068714819901,7.954333421757378 58.08611737037251,7.870194391072143 58.081413719456954)))"
20850006460000,11261,5585,5676,41.6,"MULTIPOLYGON(((7.954333421757378 58.08611737037251,7.945491633627337 58.13068714819901,8.029760472228517 58.13534349079768,8.038498743253243 58.090765687649686,7.954333421757378 58.08611737037251)))"
20900006460000,5477,2725,2752,34.3,"MULTIPOLYGON(((8.038498743253243 58.090765687649686,8.029760472228517 58.13534349079768,8.114055409241283 58.13994437062362,8.122690055596346 58.09535863569035,8.038498743253243 58.090765687649686)))"
20950006460000,386,208,178,44.3,"MULTIPOLYGON(((8.122690055596346 58.09535863569035,8.114055409241283 58.13994437062362,8.198376142910217 58.14448975234895,8.206907058228536 58.09989617930056,8.122690055596346 58.09535863569035)))"
21000006460000,420,211,209,43.6,"MULTIPOLYGON(((8.206907058228536 58.09989617930056,8.198376142910217 58.14448975234895,8.282722370887372 58.148979601052396,8.291149450003171 58.10437828369153,8.206907058228536 58.09989617930056)))"
20050006465000,506,261,245,39.8,"MULTIPOLYGON(((6.60098343869392 58.04867311756658,6.590469834513851 58.09310037073804,6.674382494955767 58.09864851106132,6.68479417167416 58.054211732045296,6.60098343869392 58.04867311756658)))"
20100006465000,1910,934,976,43.6,"MULTIPOLYGON(((6.68479417167416 58.054211732045296,6.674382494955767 58.09864851106132,6.758326123070616 58.10414171692163,6.768635745496451 58.05969550346895,6.68479417167416 58.054211732045296)))"
20150006465000,3559,1748,1811,43.6,"MULTIPOLYGON(((6.768635745496451 58.05969550346895,6.758326123070616 58.10414171692163,6.842300426290053 58.10957994646753,6.852507868725104 58.065124390143446,6.768635745496451 58.05969550346895)))"
20200006465000,291,152,139,43.5,"MULTIPOLYGON(((6.852507868725104 58.065124390143446,6.842300426290053 58.10957994646753,6.926305111351207 58.11496315823881,6.936410249234622 58.07049835076452,6.852507868725104 58.065124390143446)))"
